pl_name,pl_letter,hostname,hd_name,hip_name,sy_dist,pl_orbsmax,pl_orbper,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,discoverymethod,disc_year,ra,dec
"HD 29985 b","b","HD 29985","HD 29985","HIP 21865",31.27070000,13.3900000000,20608.14049000000,0.261000,12.80000000,1739.47487151,,"Radial Velocity",2022,70.5216589,-33.9210696
"iot Dra b","b","iot Dra","HD 137759","HIP 75458",31.32832000,1.4530000000,510.85440000000,0.701000,12.40000000,3756.73177074,,"Radial Velocity",2002,231.2323227,58.9661403
"iot Dra c","c","iot Dra","HD 137759","HIP 75458",31.32832000,19.4000000000,25000.00000000000,0.455000,12.20000000,4958.12314920,,"Radial Velocity",2022,231.2323227,58.9661403
"HD 185283 b","b","HD 185283","HD 185283","HIP 96861",31.39500000,4.6000000000,4060.00000000000,0.070000,13.60000000,413.17692910,,"Radial Velocity",2023,295.3233609,-56.3221096
"TOI-6086 b","b","TOI-6086",,,31.45660000,0.0154100000,1.38887250000,,1.18000000,1.76000000,634.00,"Transit",2024,265.3704236,30.3037755
"HR 5183 b","b","HR 5183","HD 120066","HIP 67246",31.46070000,18.0000000000,27000.00000000000,0.840000,13.10000000,1052.01202717,171.00,"Radial Velocity",2019,206.7357992,6.3498994
"HD 64114 b","b","HD 64114","HD 64114","HIP 38392",31.52620000,0.2460000000,45.79100000000,0.120000,4.41000000,17.80000000,,"Radial Velocity",2019,117.9825560,-11.0337221
"HD 73583 b","b","HD 73583","HD 73583","HIP 42401",31.56660000,0.0604000000,6.39804200000,0.090000,2.79000000,10.20000000,714.00,"Transit",2022,129.6883026,-13.2565267
"HD 73583 c","c","HD 73583","HD 73583","HIP 42401",31.56660000,0.1242000000,18.87974000000,0.080000,2.39000000,9.70000000,498.00,"Transit",2022,129.6883026,-13.2565267
"TOI-4559 b","b","TOI-4559",,,31.63540000,0.0359000000,3.96599100000,,1.41500000,2.59000000,554.16,"Transit",2024,211.0135378,-30.0141252
"HD 37124 b","b","HD 37124","HD 37124","HIP 26381",31.66340000,0.5336400000,154.37800000000,0.054000,14.00000000,214.53525000,,"Radial Velocity",2002,84.2599947,20.7289784
"HD 37124 c","c","HD 37124","HD 37124","HIP 26381",31.66340000,1.7100000000,885.50000000000,0.125000,14.10000000,207.22516000,,"Radial Velocity",2002,84.2599947,20.7289784
"HD 37124 d","d","HD 37124","HD 37124","HIP 26381",31.66340000,2.8070000000,1862.00000000000,0.160000,14.00000000,221.20968000,,"Radial Velocity",2005,84.2599947,20.7289784
"HD 12235 b","b","HD 12235","HD 12235",,31.76270000,0.0540000000,4.36305000000,0.376000,3.23000000,10.48833743,,"Radial Velocity",2022,30.0391601,3.0959098
"HD 12235 c","c","HD 12235","HD 12235",,31.76270000,22.2100000000,36336.70679000000,0.174000,12.50000000,3135.69506346,,"Radial Velocity",2022,30.0391601,3.0959098
"HD 130322 b","b","HD 130322","HD 130322","HIP 72339",31.87660000,0.0925000000,10.70871000000,0.029000,13.70000000,365.49000000,720.00,"Radial Velocity",1999,221.8857975,-0.2820782
"HIP 5763 b","b","HIP 5763",,"HIP 5763",31.90430000,0.1700000000,30.01400000000,0.054000,14.20000000,162.09248757,,"Radial Velocity",2021,18.4953430,16.4942738
"HR 858 b","b","HR 858","HD 17926","HIP 13363",31.96400000,0.0488800000,3.58528700000,0.000000,2.00400000,3.55000000,1552.00,"Transit",2019,42.9849779,-30.8140609
"HR 858 c","c","HR 858","HD 17926","HIP 13363",31.96400000,0.0687000000,5.97386500000,0.000000,1.97900000,3.80000000,1309.00,"Transit",2019,42.9849779,-30.8140609
"HR 858 d","d","HR 858","HD 17926","HIP 13363",31.96400000,0.1046000000,11.23051100000,0.000000,2.00100000,7.10000000,1061.00,"Transit",2019,42.9849779,-30.8140609
"HD 89307 b","b","HD 89307","HD 89307","HIP 50473",32.01040000,3.2700000000,2166.00000000000,0.200000,13.40000000,642.01338214,,"Radial Velocity",2009,154.5874958,12.6209392
"TOI-6002 b","b","TOI-6002",,,32.02660000,0.0572200000,10.90482100000,0.150000,1.65000000,3.36000000,321.40,"Transit",2024,299.6142524,32.2871702
"HD 110067 b","b","HD 110067","HD 110067",,32.15850000,0.0793000000,9.11367800000,,2.20000000,5.69000000,800.00,"Transit",2023,189.8392243,20.0273377
"HD 110067 c","c","HD 110067","HD 110067",,32.15850000,0.1039000000,13.67369400000,,2.38800000,6.30000000,699.00,"Transit",2023,189.8392243,20.0273377
"HD 110067 d","d","HD 110067","HD 110067",,32.15850000,0.1362000000,20.51961700000,,2.85200000,8.52000000,602.00,"Transit",2023,189.8392243,20.0273377
"HD 110067 e","e","HD 110067","HD 110067",,32.15850000,0.1785000000,30.79309100000,,1.94000000,3.90000000,533.00,"Transit",2023,189.8392243,20.0273377
"HD 110067 f","f","HD 110067","HD 110067",,32.15850000,0.2163000000,41.05854000000,,2.60100000,5.04000000,489.00,"Transit",2023,189.8392243,20.0273377
"HD 110067 g","g","HD 110067","HD 110067",,32.15850000,0.2621000000,54.76992000000,,2.60700000,8.40000000,440.00,"Transit",2023,189.8392243,20.0273377
"TOI-2120 b","b","TOI-2120",,,32.17550000,0.0377000000,5.79981640000,0.320000,2.12200000,6.80000000,384.00,"Transit",2024,23.5073150,65.5139877
"HIP 71135 b","b","HIP 71135",,"HIP 71135",32.33110000,0.3350000000,87.19000000000,0.210000,4.55000000,18.80000000,,"Radial Velocity",2019,218.2158073,-52.6464757
"HD 117207 b","b","HD 117207","HD 117207","HIP 65808",32.35470000,3.7870000000,2621.75000000000,0.157000,13.40000000,669.34662514,,"Radial Velocity",2004,202.3368806,-35.5713041
"HD 97037 b","b","HD 97037","HD 97037",,32.41300000,6.9250000000,6449.08337000000,0.357000,12.10000000,6707.76852973,,"Radial Velocity",2022,167.5545621,-7.3901483
"LP 890-9 b","b","LP 890-9",,,32.42980000,0.0187500000,2.72990250000,,1.32000000,13.20000000,396.00,"Transit",2022,64.1309096,-28.3157909
"LP 890-9 c","c","LP 890-9",,,32.42980000,0.0398400000,8.45746300000,,1.36700000,25.30000000,272.00,"Transit",2022,64.1309096,-28.3157909
"HD 98736 b","b","HD 98736","HD 98736","HIP 55486 A",32.44590000,1.8640000000,968.80000000000,0.226000,13.30000000,740.54390000,,"Radial Velocity",2018,170.4549045,18.1896082
"TOI-1411 b","b","TOI-1411",,"HIP 76042",32.47780000,0.0212200000,1.45205270000,0.000000,1.19880592,2.00000000,976.40,"Transit",2022,232.9460470,47.0555507
"TOI-5734 b","b","TOI-5734",,,32.51020000,0.0592100000,6.18418760000,,2.10000000,9.10000000,688.00,"Transit",2026,111.2558179,37.2311218
"HD 63765 b","b","HD 63765","HD 63765","HIP 38041",32.53760000,0.9400000000,358.00000000000,0.240000,14.20000000,168.44990000,,"Radial Velocity",2009,116.9582617,-54.2653450
"TOI-431 b","b","TOI-431",,"HIP 26013",32.56860000,0.0113000000,0.49004700000,0.000000,1.28000000,3.07000000,1862.00,"Transit",2021,83.2692502,-26.7238698
"TOI-431 c","c","TOI-431",,"HIP 26013",32.56860000,0.0520000000,4.84940000000,0.000000,1.49000000,2.83000000,867.00,"Radial Velocity",2021,83.2692502,-26.7238698
"TOI-431 d","d","TOI-431",,"HIP 26013",32.56860000,0.0980000000,12.46103000000,0.000000,3.29000000,9.90000000,633.00,"Transit",2021,83.2692502,-26.7238698
"HD 22781 b","b","HD 22781","HD 22781","HIP 17187",32.60340000,1.1670000000,528.07000000000,0.819100,12.30000000,4338.20000000,,"Radial Velocity",2011,55.2065581,31.8258855
"mu Leo b","b","mu Leo","HD 85503","HIP 48455",32.60810000,1.1000000000,357.80000000000,0.090000,13.30000000,762.80000000,,"Radial Velocity",2014,148.1898673,26.0067142
"HD 100508 b","b","HD 100508","HD 100508","HIP 56363",32.75480000,6.1100000000,5681.00000000000,0.420000,13.70000000,381.39408840,,"Radial Velocity",2026,173.3014057,-67.0546386
"HD 216435 b","b","HD 216435","HD 216435","HIP 113044",32.98340000,2.5600000000,1311.00000000000,0.070000,13.70000000,400.40000000,,"Radial Velocity",2002,343.4094703,-48.5986332
"TOI-620 b","b","TOI-620",,,33.02310000,0.0482500000,5.09881790000,0.220000,3.76000000,13.60000000,603.60,"Transit",2022,142.1734459,-12.1671652
"HD 10697 b","b","HD 10697","HD 10697","HIP 8159",33.12050000,2.0510000000,1075.37990000000,0.104000,12.80000000,1825.28854140,,"Radial Velocity",1999,26.2324076,20.0826974
"HIP 35173 b","b","HIP 35173",,"HIP 35173",33.15620000,0.2170000000,41.51600000000,0.160000,3.61000000,12.70000000,,"Radial Velocity",2019,109.0449329,-3.6661273
"HD 197037 b","b","HD 197037","HD 197037","HIP 101948",33.19440000,2.0700000000,1035.70000000000,0.220000,13.90000000,251.00000000,,"Radial Velocity",2012,309.8869681,42.2475930
"HD 111998 b","b","HD 111998","HD 111998","HIP 62875",33.22370000,1.9100000000,810.00000000000,0.130000,12.90000000,1525.57635360,,"Radial Velocity",2016,193.2953521,-3.5531133
"HD 21693 b","b","HD 21693","HD 21693","HIP 16085",33.25500000,0.1455000000,22.67860000000,0.120000,2.80000000,8.23000000,,"Radial Velocity",2019,51.8040469,-58.3232726
"HD 21693 c","c","HD 21693","HD 21693","HIP 16085",33.25500000,0.2586000000,53.73570000000,0.070000,4.34000000,17.37000000,,"Radial Velocity",2019,51.8040469,-58.3232726
"HD 88986 b","b","HD 88986","HD 88986","HIP 50316",33.26730000,0.5800000000,146.05000000000,0.240000,2.49000000,17.20000000,460.00,"Radial Velocity",2023,154.1166869,28.6820708
"HD 141937 b","b","HD 141937","HD 141937","HIP 77740",33.36220000,1.5000000000,653.21997000000,0.410000,11.90000000,8714.85491994,,"Radial Velocity",2002,238.0735585,-18.4359716
"TOI-2136 b","b","TOI-2136",,,33.36310000,0.0570000000,7.85192800000,0.000000,2.19000000,6.37000000,395.00,"Transit",2022,281.1763433,36.5631318
"HD 68475 b","b","HD 68475","HD 68475","HIP 40051",33.42970000,7.2700000000,7832.00000000000,0.620000,12.80000000,1639.99458012,,"Radial Velocity",2026,122.7192621,-42.8128841
"HD 23079 b","b","HD 23079","HD 23079","HIP 17096",33.45910000,1.6000000000,735.74000000000,0.073480,13.20000000,845.42356262,,"Radial Velocity",2001,54.9281897,-52.9162344
"HD 23079 c","c","HD 23079","HD 23079","HIP 17096",33.45910000,,5.74891300000,0.097000,2.80000000,8.26000000,,"Radial Velocity",2025,54.9281897,-52.9162344
"HD 85390 b","b","HD 85390","HD 85390","HIP 48235",33.52250000,1.3730000000,799.52000000000,0.500000,6.16000000,31.46517000,,"Radial Velocity",2009,147.5105663,-49.7905254
"HD 11964 b","b","HD 11964","HD 11964","HIP 9094",33.53690000,3.1600000000,1945.00000000000,0.041000,14.10000000,198.00000000,,"Radial Velocity",2005,29.2884252,-10.2434693
"HD 11964 c","c","HD 11964","HD 11964","HIP 9094",33.53690000,0.2290000000,37.91000000000,0.300000,5.38000000,25.00000000,,"Radial Velocity",2008,29.2884252,-10.2434693
"2MASS J01225093-2439505 b","b","2MASS J01225093-2439505",,,33.82810000,52.0000000000,,,11.20900000,7786.50000000,1600.00,"Imaging",2013,20.7128012,-24.6646128
"LP 261-75 b","b","LP 261-75 A",,,33.92800000,450.0000000000,,,12.10000000,6674.39654700,1500.00,"Imaging",2006,147.7685281,35.9685562
"HR 2562 b","b","HR 2562","HD 50571","HIP 32775",34.00710000,27.0000000000,,,12.44199000,4195.33497240,1255.00,"Imaging",2016,102.5042716,-60.2486775
